"","country","year","Wbcode","region","oecd","guerilla","overall.conflict","riots","strikes","demos","assassinations","internet","computers","radios","tvs","newspapers","mdi","landlines","mobiles"
"33097","Abyssinia",1898,"ETH","Sub-Saharan Africa ","Non-OECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33125","Abyssinia",1899,"ETH","Sub-Saharan Africa ","Non-OECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33062","Abyssinia",1900,"ETH","Sub-Saharan Africa ","Non-OECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33279","Abyssinia",1901,"ETH","Sub-Saharan Africa ","Non-OECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33608","Abyssinia",1902,"ETH","Sub-Saharan Africa ","Non-OECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33552","Abyssinia",1903,"ETH","Sub-Saharan Africa ","Non-OECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33391","Abyssinia",1904,"ETH","Sub-Saharan Africa ","Non-OECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33398","Abyssinia",1905,"ETH","Sub-Saharan Africa ","Non-OECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33328","Abyssinia",1906,"ETH","Sub-Saharan Africa ","Non-OECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33244","Abyssinia",1907,"ETH","Sub-Saharan Africa ","Non-OECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33440","Abyssinia",1908,"ETH","Sub-Saharan Africa ","Non-OECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33188","Abyssinia",1909,"ETH","Sub-Saharan Africa ","Non-OECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33447","Abyssinia",1910,"ETH","Sub-Saharan Africa ","Non-OECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33272","Abyssinia",1911,"ETH","Sub-Saharan Africa ","Non-OECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33629","Abyssinia",1912,"ETH","Sub-Saharan Africa ","Non-OECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33685","Abyssinia",1913,"ETH","Sub-Saharan Africa ","Non-OECD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33720","Abyssinia",1919,"ETH","Sub-Saharan Africa ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"33706","Abyssinia",1920,"ETH","Sub-Saharan Africa ","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
