YEAR,QUERY_VS_WHOLE_CORPUS
1545,1
1546,1
1552,1
1560,1
1585,1
1591,1
1602,1
1603,1
1606,1
1612,1
1613,1
1618,1
1620,1
1622,1
1628,1
1637,1
1643,1
1655,1
1660,1
1664,1
1669,0.014705882
1670,0.026666667
1671,0.051282051
1672,0.04109589
1673,0.014925373
1674,0.083333333
1676,0.01754386
1680,1
1681,1
1683,0.066666667
1684,0.04494382
1685,0.020618557
1686,0.027777778
1687,1
1693,0.023809524
1694,0.037037037
1695,0.039473684
1696,1
1699,0.024390244
1700,0.041666667
1702,0.042857143
1704,0.054054054
1705,1
1706,0.030769231
1708,0.0375
1710,0.013513514
1711,1
1712,1
1713,0.048780488
1714,0.027777778
1715,1
1717,0.0375
1726,0.017241379
1727,0.082191781
1729,0.126582278
1730,1
1731,0.119047619
1733,0.029411765
1734,1
1735,0.011363636
1738,1
1739,0.078651685
1740,1
1744,0.058823529
1746,0.039370079
1747,1
1748,0.026315789
1749,0.022727273
1751,0.02
1752,1
1753,0.054054054
1755,0.05785124
1756,1
1757,0.041666667
1758,1
1759,0.065934066
1761,0.051282051
1763,0.06779661
1764,0.081967213
1766,0.090909091
1767,0.089285714
1768,0.12
1769,0.046875
1770,0.070175439
1771,0.158730159
1772,0.076923077
1773,0.086956522
1774,0.038461538
1775,0.037037037
1776,0.02173913
1777,0.108695652
1778,0.018181818
1779,0.023255814
1780,0.073170732
1781,0.032258065
1783,0.099009901
1784,0.169811321
1785,0.386363636
1786,0.183673469
1787,0.219512195
1788,0.168831169
1789,0.258064516
1790,0.32
1791,0.435185185
1792,0.895833333
1793,0.354651163
1794,0.875
1795,0.611111111
1796,0.5625
1797,0.28
1798,0.568627451
1799,0.574585635
1800,0.541322314
1801,0.65625
1802,0.307692308
1803,0.524590164
1804,0.385542169
1805,0.581818182
1806,0.602739726
1807,0.777777778
1808,0.247272727
1809,0.197368421
1810,0.235602094
1811,0.181086519
1812,0.215213358
1813,0.182352941
1814,0.182978723
1815,0.227045075
1816,0.479069767
1817,0.476987448
1818,0.392026578
1819,0.433333333
1820,0.434285714
1821,0.363636364
1822,0.407582938
1823,0.71686747
1824,0.597222222
1825,0.49112426
1826,0.535410765
1827,0.635359116
1828,0.629441624
1829,0.557228916
1830,0.330424666
1831,0.685185185
1832,0.617052023
1833,0.595286885
1834,0.584795322
1835,0.567338282
1836,0.619578686
1837,0.528856243
1838,0.70505618
1839,0.62992126
1840,0.520818631
1841,0.298724954
1842,0.228319783
1843,0.287163876
1844,0.399722415
1845,0.384325546
1846,0.453084833
1847,0.435347628
1848,0.43133583
1849,0.387782205
1850,0.35567867
1851,0.345387454
1852,0.337862878
1853,0.323333333
1854,0.299668264
1855,0.310396975
1856,0.323212913
1857,0.281624501
1858,0.299542683
1859,0.336448598
1860,0.334729494
1861,0.386435331
1862,0.331811263
1863,0.387027798
1864,0.431270096
1865,0.360030223
1866,0.318006526
1867,0.241519966
1868,0.294451726
1869,0.357587065
1870,0.382476994
1871,0.28728972
1872,0.324199222
1873,0.282515576
1874,0.309655542
1875,0.277470073
1876,0.231089744
1877,0.249889755
1878,0.23650108
1879,0.259489571
1880,0.265345578
1881,0.234332085
1882,0.232049149
1883,0.24663487
1884,0.254277963
1885,0.255265032
1886,0.245567894
1887,0.244293646
1888,0.283958603
1889,0.281244772
1890,0.295314324
1891,0.289154583
1892,0.276612277
1893,0.330474598
1894,0.343407766
1895,0.340026684
1896,0.363178047
1897,0.372688118
1898,0.367574949
1899,0.379918008
1900,0.391011504
1901,0.386099949
1902,0.372571043
1903,0.337112736
1904,0.332129304
1905,0.333844281
1906,0.335993507
1907,0.339135442
1908,0.355822047
1909,0.37370172
1910,0.377661778
1911,0.384653001
1912,0.3864883
1913,0.392595449
1914,0.377944451
1915,0.373351505
1916,0.358811569
1917,0.358150809
1918,0.356381939
1919,0.340267803
1920,0.362969185
1921,0.377483725
1922,0.386223565
1923,0.414016823
1924,0.395384391
1925,0.404142565
1926,0.407258835
1927,0.381197133
1928,0.379897023
1929,0.384565587
1930,0.395167863
1931,0.401471626
1932,0.399666177
1933,0.405925926
1934,0.397211933
1935,0.400465884
1936,0.403965362
1937,0.408761595
1938,0.404220672
1939,0.419901153
1940,0.431268298
1941,0.420180423
1942,0.422667157
1943,0.419350369
1944,0.42194916
1945,0.407714431
1946,0.416535639
1947,0.410938815
1948,0.41446055
1949,0.412187201
1950,0.401953683
1951,0.395340522
1952,0.39271308
1953,0.388446073
1954,0.393324181
1955,0.390232855
1956,0.394089906
1957,0.387788406
1958,0.392771199
1959,0.39390813
1960,0.397768355
1961,0.399480246
1962,0.402960219
1963,0.405219117
1964,0.405657998
1965,0.407021379
1966,0.413518935
1967,0.412440373
1968,0.416928464
1969,0.416175436
1970,0.425084885
1971,0.43210621
1972,0.430333061
1973,0.427659792
1974,0.427053032
1975,0.420078635
1976,0.419733637
1977,0.42385152
1978,0.420283115
1979,0.417467683
1980,0.418869187
1981,0.413100499
1982,0.413159049
1983,0.409845514
1984,0.40624786
1985,0.40399571
1986,0.405614935
1987,0.405909034
1988,0.402090961
1989,0.399392019
1990,0.40221953
1991,0.39787916
1992,0.391870705
1993,0.385791443
1994,0.394068795
1995,0.392587388
1996,0.389525581
1997,0.376667501
1998,0.369847437
1999,0.367885082
2000,0.364101594
2001,0.36068398
2002,0.359217234
2003,0.358842691
2004,0.363753514
2005,0.367922441
2006,0.362818454
2007,0.394092722
2008,0.379864887
2009,0.424053108
2010,0.413776291
2011,0.492086789
