YEAR,QUERY_VS_WHOLE_CORPUS
1713,0.024390244
1729,0.012658228
1730,0.166666667
1740,0.666666667
1744,0.025210084
1747,1
1749,0.005681818
1753,0.009009009
1755,0.024793388
1756,0.5
1757,0.008333333
1759,0.021978022
1761,0.008547009
1763,0.033898305
1764,0.032786885
1767,0.017857143
1769,0.015625
1771,0.031746032
1773,0.065217391
1775,0.037037037
1776,0.02173913
1777,0.086956522
1780,0.048780488
1784,0.018867925
1785,0.022727273
1786,0.010204082
1787,0.036585366
1788,0.012987013
1789,0.064516129
1790,0.16
1791,0.175925926
1792,0.208333333
1793,0.122093023
1794,0.347222222
1795,0.240740741
1796,0.229166667
1797,0.106666667
1798,0.235294118
1799,0.154696133
1800,0.213498623
1801,0.40625
1802,0.173076923
1803,0.344262295
1804,0.240963855
1805,0.290909091
1806,0.328767123
1807,0.569444444
1808,0.123636364
1809,0.052631579
1810,0.104712042
1811,0.076458753
1812,0.102040816
1813,0.080392157
1814,0.082978723
1815,0.085141903
1816,0.260465116
1817,0.238493724
1818,0.22923588
1819,0.281481481
1820,0.232380952
1821,0.223587224
1822,0.27014218
1823,0.340361446
1824,0.350694444
1825,0.232741617
1826,0.390934844
1827,0.303867403
1828,0.383248731
1829,0.361445783
1830,0.171029668
1831,0.427160494
1832,0.338150289
1833,0.24897541
1834,0.291423002
1835,0.324496288
1836,0.349442379
1837,0.313746065
1838,0.387640449
1839,0.330708661
1840,0.274523641
1841,0.163327262
1842,0.110433604
1843,0.093353628
1844,0.158917418
1845,0.13639789
1846,0.181876607
1847,0.189733593
1848,0.219725343
1849,0.177290837
1850,0.140166205
1851,0.129889299
1852,0.112415071
1853,0.102592593
1854,0.091411721
1855,0.116068053
1856,0.113374327
1857,0.089214381
1858,0.112804878
1859,0.102803738
1860,0.116928447
1861,0.138012618
1862,0.116057839
1863,0.147540984
1864,0.155546624
1865,0.123536079
1866,0.089884307
1867,0.072348647
1868,0.091306247
1869,0.097222222
1870,0.103527607
1871,0.07682243
1872,0.075541566
1873,0.073014019
1874,0.061038729
1875,0.05502948
1876,0.058653846
1877,0.056298692
1878,0.05260722
1879,0.055318046
1880,0.066940551
1881,0.060299625
1882,0.05234865
1883,0.051828299
1884,0.056448247
1885,0.052192492
1886,0.055523086
1887,0.047149026
1888,0.043892072
1889,0.042914506
1890,0.045022511
1891,0.040786907
1892,0.045066045
1893,0.04375318
1894,0.041601479
1895,0.049032688
1896,0.043075941
1897,0.045984292
1898,0.043138229
1899,0.044422689
1900,0.041783394
1901,0.035259494
1902,0.036279906
1903,0.033218957
1904,0.031594349
1905,0.033181552
1906,0.034537175
1907,0.039286031
1908,0.038659902
1909,0.037690685
1910,0.042381307
1911,0.043726313
1912,0.044946924
1913,0.042151948
1914,0.042345404
1915,0.04128753
1916,0.042532885
1917,0.045017747
1918,0.044712666
1919,0.047213084
1920,0.043812724
1921,0.048036421
1922,0.046364552
1923,0.050092414
1924,0.048667734
1925,0.046725087
1926,0.046163642
1927,0.040296053
1928,0.039763824
1929,0.040083079
1930,0.0439572
1931,0.042561234
1932,0.04162826
1933,0.044418902
1934,0.044699169
1935,0.045933223
1936,0.045544882
1937,0.046019816
1938,0.046079704
1939,0.047468424
1940,0.047359176
1941,0.047946571
1942,0.051800147
1943,0.053544704
1944,0.057682788
1945,0.058506739
1946,0.060455975
1947,0.056737589
1948,0.05570263
1949,0.053545405
1950,0.050231975
1951,0.04896592
1952,0.046575035
1953,0.043287194
1954,0.043590184
1955,0.043836398
1956,0.044334069
1957,0.043462806
1958,0.041716801
1959,0.041554236
1960,0.040972997
1961,0.039988904
1962,0.042321662
1963,0.041783267
1964,0.040144968
1965,0.039326842
1966,0.038866938
1967,0.037211951
1968,0.036775552
1969,0.037744149
1970,0.039003871
1971,0.039299693
1972,0.037995505
1973,0.037778232
1974,0.040002848
1975,0.038253466
1976,0.038069741
1977,0.037260949
1978,0.037872728
1979,0.036773101
1980,0.03702766
1981,0.03691028
1982,0.036336521
1983,0.036311556
1984,0.03616912
1985,0.036891925
1986,0.036957677
1987,0.036261496
1988,0.037124725
1989,0.035557208
1990,0.035924924
1991,0.036473707
1992,0.036613808
1993,0.036838992
1994,0.035658656
1995,0.037498377
1996,0.037964218
1997,0.040035189
1998,0.0392777
1999,0.038470761
2000,0.038048374
2001,0.037825952
2002,0.038980205
2003,0.03931593
2004,0.040287271
2005,0.041609141
2006,0.041932992
2007,0.04336989
2008,0.042111319
2009,0.047684232
2010,0.04821431
2011,0.06151969
