YEAR,QUERY_VS_WHOLE_CORPUS
1603,0.5
1660,0.5
1670,0.013333333
1674,0.016666667
1684,0.011235955
1687,1
1695,0.006578947
1705,1
1711,0.333333333
1712,0.25
1713,0.024390244
1729,0.012658228
1730,0.333333333
1739,0.016853933
1744,0.016806723
1756,0.5
1759,0.021978022
1761,0.034188034
1763,0.016949153
1764,0.032786885
1767,0.035714286
1769,0.0078125
1770,0.01754386
1771,0.015873016
1773,0.02173913
1775,0.018518519
1777,0.043478261
1781,0.016129032
1783,0.01980198
1784,0.018867925
1785,0.045454545
1786,0.030612245
1787,0.024390244
1788,0.012987013
1789,0.048387097
1790,0.08
1791,0.212962963
1792,0.229166667
1793,0.087209302
1794,0.125
1795,0.166666667
1796,0.125
1797,0.093333333
1798,0.137254902
1799,0.049723757
1800,0.110192837
1801,0.25
1802,0.067307692
1803,0.213114754
1804,0.180722892
1805,0.181818182
1806,0.178082192
1807,0.305555556
1808,0.101818182
1809,0.040935673
1810,0.055846422
1811,0.048289738
1812,0.046382189
1813,0.058823529
1814,0.042553191
1815,0.076794658
1816,0.130232558
1817,0.112970711
1818,0.129568106
1819,0.122222222
1820,0.104761905
1821,0.132678133
1822,0.137440758
1823,0.304216867
1824,0.225694444
1825,0.157790927
1826,0.186968839
1827,0.182320442
1828,0.200507614
1829,0.174698795
1830,0.069808028
1831,0.22962963
1832,0.189306358
1833,0.149590164
1834,0.158869396
1835,0.16330859
1836,0.185873606
1837,0.164742917
1838,0.219101124
1839,0.18503937
1840,0.160903317
1841,0.07346691
1842,0.066395664
1843,0.069000507
1844,0.100624566
1845,0.088922381
1846,0.121465296
1847,0.116309292
1848,0.115480649
1849,0.1062417
1850,0.089196676
1851,0.075276753
1852,0.058060531
1853,0.074074074
1854,0.059712495
1855,0.074102079
1856,0.079938509
1857,0.078894807
1858,0.07964939
1859,0.073727934
1860,0.072600349
1861,0.101735016
1862,0.090563166
1863,0.108695652
1864,0.112942122
1865,0.089913109
1866,0.070305547
1867,0.051524259
1868,0.052643076
1869,0.056384743
1870,0.057131902
1871,0.041495327
1872,0.044251065
1873,0.041277259
1874,0.038550776
1875,0.044666786
1876,0.041346154
1877,0.039982361
1878,0.041345264
1879,0.040808395
1880,0.038666022
1881,0.035955056
1882,0.035709715
1883,0.035930048
1884,0.037562604
1885,0.033472378
1886,0.028735632
1887,0.032167093
1888,0.029384587
1889,0.030533713
1890,0.030348508
1891,0.034427203
1892,0.032867133
1893,0.03154299
1894,0.02716541
1895,0.025817211
1896,0.026356094
1897,0.030086141
1898,0.027248464
1899,0.030288197
1900,0.030160339
1901,0.025298545
1902,0.024710772
1903,0.020488339
1904,0.021855425
1905,0.02123439
1906,0.019928761
1907,0.021791124
1908,0.021300683
1909,0.02121876
1910,0.02249565
1911,0.02322833
1912,0.021940728
1913,0.022329348
1914,0.021172702
1915,0.022006654
1916,0.021909623
1917,0.022725305
1918,0.023358092
1919,0.02349071
1920,0.021884257
1921,0.021827001
1922,0.022719033
1923,0.022594395
1924,0.021585614
1925,0.021509473
1926,0.021744667
1927,0.019678102
1928,0.019224312
1929,0.020769832
1930,0.019901675
1931,0.018571717
1932,0.019506241
1933,0.021302682
1934,0.021548704
1935,0.020333883
1936,0.020820518
1937,0.023179182
1938,0.020971327
1939,0.0205162
1940,0.022344537
1941,0.02437201
1942,0.025034114
1943,0.025885483
1944,0.027953295
1945,0.028224215
1946,0.03110587
1947,0.029306407
1948,0.030596302
1949,0.030395137
1950,0.030205744
1951,0.031238826
1952,0.032456861
1953,0.033572928
1954,0.035627252
1955,0.035213394
1956,0.039015988
1957,0.039439669
1958,0.039104553
1959,0.041776452
1960,0.041523469
1961,0.043478261
1962,0.043441434
1963,0.044333549
1964,0.046344604
1965,0.047461677
1966,0.047887666
1967,0.047772741
1968,0.049386886
1969,0.050633468
1970,0.051698782
1971,0.053602031
1972,0.052952595
1973,0.053890137
1974,0.056693586
1975,0.054552084
1976,0.055630726
1977,0.055576449
1978,0.055227962
1979,0.056319744
1980,0.055980035
1981,0.054705185
1982,0.053776647
1983,0.053611507
1984,0.054347826
1985,0.053298657
1986,0.053466733
1987,0.053971953
1988,0.053616467
1989,0.053222625
1990,0.054637661
1991,0.054967752
1992,0.056145332
1993,0.056122802
1994,0.05722253
1995,0.05856162
1996,0.059070761
1997,0.060003489
1998,0.061025015
1999,0.060740941
2000,0.062053825
2001,0.059738709
2002,0.059309846
2003,0.058838167
2004,0.060875528
2005,0.061814937
2006,0.060547999
2007,0.066816218
2008,0.06664687
2009,0.074145739
2010,0.075666671
2011,0.093614613
