YEAR,QUERY_VS_WHOLE_CORPUS
1612,1
1660,0.5
1670,0.013333333
1672,0.01369863
1695,0.006578947
1705,1
1712,0.25
1727,0.02739726
1729,0.050632911
1730,0.166666667
1731,0.035714286
1733,0.014705882
1734,1
1739,0.028089888
1744,0.008403361
1749,0.005681818
1752,0.5
1755,0.008264463
1757,0.008333333
1759,0.010989011
1761,0.008547009
1763,0.016949153
1764,0.016393443
1767,0.035714286
1773,0.02173913
1774,0.019230769
1775,0.018518519
1777,0.065217391
1780,0.048780488
1781,0.016129032
1783,0.02970297
1784,0.056603774
1785,0.113636364
1786,0.030612245
1787,0.06097561
1788,0.064935065
1789,0.112903226
1790,0.12
1791,0.185185185
1792,0.3125
1793,0.11627907
1794,0.152777778
1795,0.166666667
1796,0.208333333
1797,0.133333333
1798,0.215686275
1799,0.099447514
1800,0.196969697
1801,0.28125
1802,0.125
1803,0.295081967
1804,0.21686747
1805,0.254545455
1806,0.273972603
1807,0.361111111
1808,0.098181818
1809,0.048245614
1810,0.083769634
1811,0.064386318
1812,0.079777365
1813,0.074509804
1814,0.065957447
1815,0.070116861
1816,0.241860465
1817,0.192468619
1818,0.169435216
1819,0.2
1820,0.152380952
1821,0.186732187
1822,0.213270142
1823,0.298192771
1824,0.305555556
1825,0.216962525
1826,0.294617564
1827,0.243093923
1828,0.322335025
1829,0.313253012
1830,0.131471786
1831,0.341975309
1832,0.26300578
1833,0.206967213
1834,0.221247563
1835,0.240721103
1836,0.267657993
1837,0.250786988
1838,0.335674157
1839,0.280839895
1840,0.227240649
1841,0.121432908
1842,0.099593496
1843,0.091831558
1844,0.130464955
1845,0.116804823
1846,0.140745501
1847,0.149447693
1848,0.15917603
1849,0.147410359
1850,0.113573407
1851,0.101845018
1852,0.087708462
1853,0.08962963
1854,0.074087726
1855,0.093383743
1856,0.100307456
1857,0.08988016
1858,0.102896341
1859,0.088265836
1860,0.093891798
1861,0.124605678
1862,0.102359209
1863,0.120812545
1864,0.133038585
1865,0.114091424
1866,0.091664195
1867,0.063117218
1868,0.074923547
1869,0.081674959
1870,0.08684816
1871,0.060560748
1872,0.064617663
1873,0.060358255
1874,0.059432447
1875,0.061997499
1876,0.060897436
1877,0.057033662
1878,0.055075594
1879,0.062961524
1880,0.066578057
1881,0.059051186
1882,0.055036478
1883,0.057445681
1884,0.058430718
1885,0.056160342
1886,0.061757257
1887,0.061778444
1888,0.066346332
1889,0.063158775
1890,0.061864265
1891,0.065377766
1892,0.063170163
1893,0.067083364
1894,0.063860048
1895,0.063842562
1896,0.063178047
1897,0.064162655
1898,0.062193532
1899,0.065226703
1900,0.063777791
1901,0.057784821
1902,0.058575761
1903,0.05688995
1904,0.055415847
1905,0.062125242
1906,0.060282249
1907,0.065019045
1908,0.066375949
1909,0.065400844
1910,0.068895517
1911,0.071478055
1912,0.071938755
1913,0.074084073
1914,0.069143326
1915,0.070709905
1916,0.069255986
1917,0.070556662
1918,0.074179046
1919,0.075615067
1920,0.081833856
1921,0.08147896
1922,0.085800604
1923,0.091320584
1924,0.088126092
1925,0.085864709
1926,0.087551735
1927,0.0829711
1928,0.084004925
1929,0.08704448
1930,0.094302916
1931,0.092027013
1932,0.092772975
1933,0.092158365
1934,0.091926119
1935,0.095166456
1936,0.096152936
1937,0.096711581
1938,0.098078912
1939,0.101680395
1940,0.10818597
1941,0.109574362
1942,0.116064868
1943,0.115542376
1944,0.119762397
1945,0.1211019
1946,0.120387841
1947,0.119365308
1948,0.118218905
1949,0.122767207
1950,0.116614138
1951,0.112723235
1952,0.114738179
1953,0.112923887
1954,0.115685602
1955,0.115571735
1956,0.115509399
1957,0.114602857
1958,0.117804446
1959,0.117758166
1960,0.120940266
1961,0.117382544
1962,0.120275062
1963,0.123516356
1964,0.124576845
1965,0.126204337
1966,0.128417725
1967,0.129256948
1968,0.133511243
1969,0.133622207
1970,0.138876273
1971,0.145318946
1972,0.145545566
1973,0.151072085
1974,0.158343335
1975,0.157497463
1976,0.15863842
1977,0.160937588
1978,0.16174036
1979,0.164180754
1980,0.164639715
1981,0.16561568
1982,0.166304062
1983,0.163943445
1984,0.165148922
1985,0.164734393
1986,0.168540842
1987,0.167625151
1988,0.165910015
1989,0.165416209
1990,0.168045514
1991,0.166944961
1992,0.168716801
1993,0.166670508
1994,0.16830156
1995,0.170461054
1996,0.173774909
1997,0.169939102
1998,0.171463426
1999,0.172061865
2000,0.16989288
2001,0.169211821
2002,0.170083803
2003,0.171477477
2004,0.173990369
2005,0.174941457
2006,0.17312411
2007,0.189182453
2008,0.186596388
2009,0.211784685
2010,0.21536628
2011,0.25757281
