id,dateiso,entry
1,1977-01-02,"manifestaciones y encierros en Guipuzcoa en peticion de amnistia, con el balance de varios heridos en Elbar"
2,1977-01-04,estalla una bomba en las oficinas de una compania aerea en Las Palmas cuya autoria se adjudica el MPAIAC
3,1977-01-05,desalojados por la G.C. los 16 jovenes encerrados en huelga de hambre pro amnistia en Bermeo
4,1977-01-05,"los ayuntamientos vascos preparan una cumbre a favor de la amnistia, los fueros y el euskera"
5,1977-01-05,varios dirigentes de Asociacion Democratica de la Juventud protagonizan encierros y huelgas de hambre pro amnistia
6,1977-01-06,2 obreros vizcainos de Babcock Wilcoxse encaramana una chimenea de 32 metrosde altura para pedir amnistia
7,1977-01-07,concentraciones ante las carceles madrilenas** de Carabanchel y Yeserias en peticion de amnistia
8,1977-01-07,"nuevos encierros, manifestaciones y huelgas de hambre en favor de la amnistia en el Pais Vasco"
9,1977-01-08,las comisiones pro amnistia del Pais Vasco apoyan la cumbre municipal del dia
10,1977-01-09,encierro de 250 miembros de las Comunidades Cristianas en demanda de amnistia total y libertades politicas
11,1977-01-11,manifestaciones en peticion de amnistia en diversas localidades vizcainas
12,1977-01-11,"varios jovenes, al parecer sin filiacion politica, queman una bandera espanola"
13,1977-01-12,"enfrentamientos tras el entierro de J.M. Iglesias, muerto por sincope cardiaco en una manifestacion pro amnistia"
14,1977-01-12,"ETA reivindica el atentado contra Gonzalo Santos, empleado de Magefesa, al que acusade confidente"
15,1977-01-12,la Federacion Provincial de Asociaciones Familiares de Baleares publica una manifiesto en peticion de amnistia
16,1977-01-13,711 entidades vascas solicitan al Gobierno Civil de Guipuzcoa una manifestacion por la cooficialdad del euskera
17,1977-01-13,las comisiones gestoras pro amnistia preparan nuevas acciones en el Pais Vasco
18,1977-01-15,el MPAIAC se atribuye la explosion de 6 artefactos que causaron graves destrozos en locales comerciales de Las Palmas
19,1977-01-18,"100,000 vascos se movilizan para acudir a la cumbre municipal de Echarri-Aranaz"
20,1977-01-18,conatos de manifestaciones pro amnistia en Madrid
21,1977-01-18,contra un vehiculo de la G.C. cuando circulaba por un carretera comarcal de Guipuzcoa
22,1977-01-18,"un grupo de personas pide, ante el Gobierno Civil de Madrid, permiso para celebrar una concentracion pro amnistia"
23,1977-01-19,3 jovenes colocan una ikurrina en el Ayuntamiento de Tolosa cuando se celebraba un pleno municipal
24,1977-01-20,"multa de 100,000 pesetas al presidente de la Asociacion Cultural de Vigo pro promover una manifestacion pro amnistia"
25,1977-01-21,Fernando Carballo regresa a Valladolid donde es recibido por dos centenares de personas con banderas de CNT
26,1977-01-21,llamamiento pro amnistia en la tamborrada de San Sebastian
27,1977-01-22,el Ayuntamiento de San Sebastian denunciara a policias armadosque disolvieron violentamente la tamborrada
28,1977-01-23,desalojo de los encerrados en la madrilena iglesia de San Andres en peticion de amnistia total
29,1977-01-25,"el estudiante Arturo Ruiz, asesinado por la extrema derecha durante la manifestacion pro amnistia del dia 23"
30,1977-01-25,"violentos incidentes durante la manifestacion pro amnistia del domingo, dia 23, en Madrid"
31,1977-01-26,amenazas de muerte a varios alcaldes guipuzcoanos
32,1977-01-28,el alcalde de Bilbao recibe una comision de asociaciones de vecinos que pide amnistia y oficializacion de la ikurrina
33,1977-02-01,campana de partidos nacionalistas vascos en zonas castellanizadas
34,1977-02-06,"mitin en Paris sobre la amnistia y el Pais Vascos, promovido por la Gestora pro Amnistia de Euskadi"
35,1977-02-06,"mitin sobre la amnistia y el Pais Vasco, promovido por la Gestora pro Amnistia de Euskadi"
36,1977-02-09,asociaciones de familiares de presos y exiliados politicos del Pais Vasco quieren celebrar el congreso de la amnistia
